
code	|	name	|	preferred name	|	taxid
1	|	Anaerococcus prevotii	|	 	|	33034
1	|	Anaerococcus provenciensis	|	Anaerococcus provencensis	|	938293
1	|	Anaerococcus senegalensis	|	 	|	1288120
1	|	Anaerococcus tetradius	|	 	|	33036
1	|	Anaerococcus urinomassiliensis	|	 	|	1745712
1	|	Anaerococcus vaginalis	|	 	|	33037
1	|	Anaerosphaera aminiphila	|	 	|	1120994
1	|	Anaerostipes hadrus	|	 	|	649756
1	|	Anaerotruncus colihominis	|	 	|	169435
1	|	Anaplasma phagocytophilum	|	 	|	948
1	|	Arcanobacterium haemolyticum	|	 	|	28264
1	|	Arcanobacterium hippocoleae	|	 	|	149017
1	|	Arcanobacterium urinimassiliense	|	 	|	1871014
1	|	Arcobacter cryaerophilus	|	Aliarcobacter cryaerophilus	|	28198
1	|	Arthrobacter albus	|	Pseudoglutamicibacter albus	|	98671
1	|	Arthrobacter aurescens	|	Paenarthrobacter aurescens	|	43663
1	|	Arthrobacter creatinolyticus	|	Glutamicibacter creatinolyticus	|	162496
1	|	Arthrobacter cumminsii	|	Pseudoglutamicibacter cumminsii	|	156979
1	|	Arthrobacter protophormiae	|	Glutamicibacter protophormiae	|	37930
1	|	Atopobium minutum	|	 	|	1381
1	|	Atopobium parvulum	|	Lancefieldella parvula	|	1382
1	|	Atopobium vaginae	|	Fannyhessea vaginae	|	82135
1	|	Bacillus cereus	|	 	|	1396
1	|	Bacillus licheniformis	|	 	|	1402
1	|	Bacillus megaterium	|	Priestia megaterium	|	1404
1	|	Bacillus subtilis	|	 	|	1423
1	|	Bacillus thermoamylovorans	|	Caldibacillus thermoamylovorans	|	35841
1	|	Bacteroides coagulans	|	Ezakiella coagulans	|	46507
1	|	Bacteroides distasonis	|	Parabacteroides distasonis	|	823
1	|	Bacteroides fragilis	|	 	|	817
1	|	Bacteroides melaninogenicus	|	Prevotella melaninogenica	|	28132
1	|	Bacteroides thetaiotaomicron	|	 	|	818
1	|	Bacteroides ureolyticus	|	Campylobacter ureolyticus	|	827
1	|	Bacteroides vulgatus	|	Phocaeicola vulgatus	|	821
1	|	Bartonella henselae	|	 	|	38323
1	|	Bifidobacterium adolescentis	|	 	|	1680
1	|	Bifidobacterium bifidum	|	 	|	1681
1	|	Bifidobacterium breve	|	 	|	1685
1	|	Bifidobacterium dentium	|	 	|	1689
1	|	Bifidobacterium longum	|	 	|	216816
1	|	Bifidobacterium scardovii	|	 	|	158787
1	|	Bifidobacterium subtile	|	 	|	77635
1	|	Bilophila wadsworthia	|	 	|	35833
1	|	Blautia hansenii	|	 	|	1322
1	|	Blautia obeum	|	 	|	40520
1	|	Borreliella afzelii	|	 	|	29518
1	|	Borrelia burgdorferi	|	Borreliella burgdorferi	|	139
1	|	Brevibacillus agri	|	 	|	51101
1	|	Brevibacillus brevis	|	 	|	1393
1	|	Brevibacterium ravenspurgense	|	 	|	479117
1	|	Brevundimonas diminuta	|	 	|	293
1	|	Brevundimonas subvibrioides	|	 	|	74313
1	|	Brevundimonas vesicularis	|	 	|	41276
1	|	Brucella abortus	|	 	|	235
1	|	Brucella melitensis	|	 	|	29459
1	|	Budvicia aquatica	|	 	|	82979
1	|	Burkholderia cepacia	|	 	|	292
1	|	Burkholderia pseudomallei	|	 	|	28450
1	|	Buttiauxella gaviniae	|	 	|	82990
1	|	Campylobacter coli	|	 	|	195
1	|	Campylobacter hominis	|	 	|	76517
1	|	Campylobacter jejuni	|	 	|	197
1	|	Campylobacter lari	|	 	|	201
1	|	Campylobacter ureolyticus	|	 	|	827
1	|	Capnocytophaga ochracea	|	 	|	1018
1	|	Cedecea davisae	|	 	|	158484
1	|	Chlamydia trachomatis	|	 	|	813
1	|	Chlamydophila pneumoniae	|	Chlamydia pneumoniae	|	83558
1	|	Christensenella minuta	|	 	|	626937
1	|	Chromobacterium violaceum	|	 	|	536
1	|	Chryseobacterium gleum	|	 	|	250
1	|	Chryseobacterium indologenes	|	 	|	253
1	|	Citrobacter amalonaticus	|	 	|	35703
1	|	Citrobacter braakii	|	 	|	57706
1	|	Citrobacter farmeri	|	 	|	67824
1	|	Citrobacter freundii	|	 	|	546
1	|	Citrobacter intermedius	|	 	|	66695
1	|	Citrobacter koseri	|	 	|	545
1	|	Citrobacter sedlakii	|	 	|	67826
1	|	Citrobacter werkmanii	|	 	|	67827
1	|	Citrobacter youngae	|	 	|	133448
1	|	Clostridium butyricum	|	 	|	1492
1	|	Clostridium difficile	|	Clostridioides difficile	|	1496
1	|	Clostridium perfringens	|	 	|	1502
1	|	Clostridium putrefaciens	|	 	|	99675
1	|	Clostridium ramosum	|	Thomasclavelia ramosa	|	1547
1	|	Comamonas acidovorans	|	Delftia acidovorans	|	80866
1	|	Comamonas testosteroni	|	 	|	285
1	|	Collinsella aerofaciens	|	 	|	74426
1	|	Coprococcus eutactus	|	 	|	33043
1	|	Corynebacterium accolens	|	 	|	38284
1	|	Corynebacterium afermentans	|	 	|	38286
1	|	Corynebacterium amycolatum	|	 	|	43765
1	|	Corynebacterium appendicis	|	 	|	163202
1	|	Corynebacterium aurimucosum	|	 	|	169292
1	|	Corynebacterium coyleae	|	 	|	53374
1	|	Corynebacterium diphtheriae	|	 	|	1717
1	|	Corynebacterium freneyi	|	 	|	134034
1	|	Corynebacterium genitalium	|	 	|	38288
1	|	Corynebacterium glucuronolyticum	|	 	|	39791
1	|	Corynebacterium imitans	|	 	|	156978
1	|	Corynebacterium jeikeium	|	 	|	38289
1	|	Corynebacterium lipophilum	|	 	|	2804918
1	|	Corynebacterium macginleyi	|	 	|	38290
1	|	Corynebacterium matruchotii	|	 	|	43768
1	|	Corynebacterium minutissimum	|	 	|	38301
1	|	Corynebacterium phocae	|	 	|	161895
1	|	Corynebacterium pseudodiphtheriticum	|	 	|	37637
1	|	Corynebacterium pseudogenitalium	|	 	|	38303
1	|	Corynebacterium pyruviciproducens	|	 	|	598660
1	|	Corynebacterium riegelii	|	 	|	156976
1	|	Corynebacterium simulans	|	 	|	146827
1	|	Corynebacterium singulare	|	 	|	161899
1	|	Corynebacterium striatum	|	 	|	43770
1	|	Corynebacterium tuberculostearicum	|	 	|	38304
1	|	Corynebacterium tuscaniense	|	 	|	302449
1	|	Corynebacterium urealyticum	|	 	|	43771
1	|	Corynebacterium urinapleomorphum	|	Corynebacterium urinipleomorphum	|	1852380
1	|	Corynebacterium xerosis	|	 	|	1725
1	|	Cosenzaea myxofaciens	|	Proteus myxofaciens	|	184072
1	|	Cronobacter sakazakii	|	 	|	28141
1	|	Dechloromonas agitata	|	 	|	73030
1	|	Delftia acidovorans	|	 	|	80866
1	|	Dermabacter hominis	|	 	|	36740
1	|	Desulfovibrio fairfieldensis	|	 	|	44742
1	|	Dialister invisus	|	 	|	218538
1	|	Dialister micraerophilus	|	 	|	309120
1	|	Dialister pneumosintes	|	 	|	39950
3	|	Diaslister propionicifaciens	|	 	|	 
1	|	Dolosigranulum pigrum	|	 	|	29394
1	|	Dysgonomonas mossii	|	 	|	163665
1	|	Edwardsiella tarda	|	 	|	636
1	|	Eggerthella lenta	|	 	|	84112
1	|	Eikenella corrodens	|	 	|	539
1	|	Elizabethkingia meningoseptica	|	 	|	238
1	|	Elizabethkingia miricola	|	 	|	172045
1	|	Enhydrobacter aerosaccus	|	 	|	225324
1	|	Enterobacter amnigenus	|	Lelliottia amnigena	|	61646
1	|	Enterobacter aerogenes	|	Klebsiella aerogenes	|	548
1	|	Enterobacter asburiae	|	 	|	61645
1	|	Enterobacter cloacae	|	 	|	550
1	|	Enterobacter gergoviae	|	Pluralibacter gergoviae	|	61647
1	|	Enterobacter hormaechei	|	 	|	158836
1	|	Enterobacter kobei	|	 	|	208224
1	|	Enterobacter ludwigii	|	 	|	299767
1	|	Enterobacter sakazakii	|	Cronobacter sakazakii	|	28141
2	|	Enterobacter taylorae	|	Enterobacter cancerogenus	|	69218
1	|	Enterococcus avium	|	 	|	33945
1	|	Enterococcus casseliflavus	|	 	|	37734
1	|	Enterococcus cecorum	|	 	|	44008
1	|	Enterococcus durans	|	 	|	53345
1	|	Enterococcus faecalis	|	 	|	1351
1	|	Enterococcus faecium	|	 	|	1352
1	|	Enterococcus gallinarum	|	 	|	1353
1	|	Enterococcus gilvus	|	 	|	160453
1	|	Enterococcus hirae	|	 	|	1354
1	|	Enterococcus malodoratus	|	 	|	71451
1	|	Enterococcus pseudoavium	|	 	|	44007
1	|	Enterococcus raffinosus	|	 	|	71452
1	|	Epilithonimonas tenax	|	 	|	191577
1	|	Erwinia persicina	|	 	|	55211
1	|	Erysipelothrix inopinata	|	 	|	225084
1	|	Escherichia coli	|	 	|	562
1	|	Escherichia faecalis	|	 	|	279970
1	|	Escherichia fergusonii	|	 	|	564
1	|	Escherichia hermannii	|	Atlantibacter hermannii	|	565
1	|	Escherichia vulneris	|	Pseudescherichia vulneris	|	566
1	|	Facklamia hominis	|	 	|	178214
1	|	Facklamia ignava	|	Falseniella ignava	|	137730
1	|	Facklamia languida	|	 	|	82347
1	|	Faecalibacterium prausnitzii	|	 	|	853
1	|	Fastidiosipila sanguinis	|	 	|	236753
1	|	Fenollaria massiliensis	|	 	|	938288
1	|	Finegoldia magna	|	 	|	1260
1	|	Flavobacterium antarcticum	|	 	|	271155
1	|	Flindersiella endophytica	|	 	|	648751
1	|	Francisella tularensis	|	 	|	263
1	|	Fusobacterium nucleatum	|	 	|	851
1	|	Gallicola barnesae	|	 	|	116087
1	|	Gardnerella vaginalis	|	 	|	2702
1	|	Gemella asaccharolytica	|	Gemelliphila asaccharolytica	|	502393
1	|	Gemella haemolysans	|	 	|	1379
1	|	Gemella morbillorum	|	 	|	29391
1	|	Gemella sanguinis	|	 	|	84135
1	|	Globicatella sanguinis	|	 	|	13076
1	|	Gordonibacter pamelaeae	|	 	|	471189
1	|	Gordonia terrae	|	 	|	2055
1	|	Granulicatella adiacens	|	 	|	46124
1	|	Granulicatella elegans	|	 	|	137732
1	|	Haemophilus influenzae	|	 	|	727
1	|	Haemophilus parainfluenzae	|	 	|	729
1	|	Hafnia alvei	|	 	|	569
1	|	Helcococcus seattlensis	|	 	|	1441821
1	|	Helicobacter cinaedi	|	 	|	213
1	|	Helicobacter pylori	|	 	|	210
1	|	Howardella ureilytica	|	 	|	404403
1	|	Ilyobacter polytropus	|	 	|	167642
1	|	Jeotgalicoccus psychrophilus	|	 	|	157228
1	|	Kandleria vitulina	|	 	|	1630
1	|	Kerstersia gyiorum	|	 	|	206506
1	|	Kingella kingae	|	 	|	504
1	|	Kingella potus	|	 	|	265175
1	|	Klebsiella ascorbata	|	Kluyvera ascorbata	|	51288
3	|	Klebsiella kluyvera	|	 	|	 
1	|	Klebsiella oxytoca	|	 	|	571
1	|	Klebsiella ozaenae	|	Klebsiella pneumoniae subsp. ozaenae	|	574
1	|	Klebsiella pneumoniae	|	 	|	573
1	|	Kluyvera ascorbata	|	 	|	51288
1	|	Kluyvera cryocrescens	|	 	|	580
1	|	Kluyvera intermedia	|	 	|	61648
1	|	Kocuria kristinae	|	Rothia kristinae	|	37923
1	|	Kocuria rhizophila	|	 	|	72000
1	|	Lachnoclostridium urinimassiliense	|	 	|	1852382
1	|	Lactobacillus acidophilus	|	 	|	1579
1	|	Lactobacillus casei	|	Lacticaseibacillus casei	|	1582
1	|	Lactobacillus coleohominis	|	Limosilactobacillus coleohominis	|	181675
1	|	Lactobacillus crispatus	|	 	|	47770
1	|	Lactobacillus delbrueckii	|	 	|	1584
1	|	Lactobacillus fermentum	|	Limosilactobacillus fermentum	|	1613
1	|	Lactobacillus fornicalis	|	 	|	88164
1	|	Lactobacillus gasseri	|	 	|	1596
1	|	Lactobacillus iners	|	 	|	147802
1	|	Lactobacillus jensenii	|	 	|	109790
1	|	Lactobacillus johnsonii	|	 	|	33959
1	|	Lactobacillus plantarum	|	Lactiplantibacillus plantarum	|	1590
1	|	Lactobacillus rhamnosus	|	Lacticaseibacillus rhamnosus	|	47715
1	|	Lactobacillus vaginalis	|	Limosilactobacillus vaginalis	|	1633
1	|	Lactococcus garvieae	|	 	|	1363
1	|	Lactococcus lactis	|	 	|	1358
1	|	Leclercia adecarboxylata	|	 	|	83655
1	|	Legionella dresdeniensis	|	Legionella dresdenensis	|	450200
1	|	Legionella londiniensis	|	 	|	45068
1	|	Legionella yabuuchiae	|	 	|	376727
1	|	Leifsonia aquatica	|	 	|	144185
1	|	Leminorella grimontii	|	 	|	82981
1	|	Leptospira interrogans	|	 	|	173
2	|	Leptotrichia amnionii	|	Sneathia vaginalis	|	187101
1	|	Levyella massiliensis	|	 	|	938289
1	|	Leuconostoc mesenteroides	|	 	|	1245
1	|	Leuconostoc pseudomesenteroides	|	 	|	33968
1	|	Listeria monocytogenes	|	 	|	1639
1	|	Macellibacteroides fermentans	|	 	|	879969
1	|	Mageeibacillus indolicus	|	 	|	884684
1	|	Mannheimia haemolytica	|	 	|	75985
1	|	Megasphaera elsdenii	|	 	|	907
1	|	Mesoflavibacter zeaxanthinifaciens	|	 	|	393060
1	|	Methylobacillus pratensis	|	 	|	233101
1	|	Methylobacterium zatmanii	|	Methylorubrum zatmanii	|	29429
1	|	Methylotenera mobilis	|	 	|	359408
1	|	Microbacterium lacticum	|	 	|	33885
1	|	Microbacterium oxydans	|	 	|	82380
1	|	Microbacterium paraoxydans	|	 	|	199592
1	|	Microbacterium testaceum	|	 	|	2033
1	|	Micrococcus luteus	|	 	|	1270
1	|	Micrococcus lylae	|	 	|	1273
1	|	Microvirga flocculans	|	 	|	217168
1	|	Mobiluncus curtisii	|	 	|	2051
1	|	Moraxella catarrhalis	|	 	|	480
3	|	Moraxella liquefaciens	|	 	|	 
1	|	Moraxella nonliquefaciens	|	 	|	478
1	|	Moraxella osloensis	|	 	|	34062
1	|	Morganella morganii	|	 	|	582
1	|	Mycobacterium abscessus	|	Mycobacteroides abscessus	|	36809
2	|	Mycobacterium africanum	|	Mycobacterium tuberculosis variant africanum	|	33894
1	|	Mycobacterium avium	|	 	|	1764
2	|	Mycobacterium bovis	|	Mycobacterium tuberculosis variant bovis	|	1765
1	|	Mycobacterium chelonae	|	Mycobacteroides chelonae	|	1774
1	|	Mycobacterium flavescens	|	Mycolicibacterium flavescens	|	1776
1	|	Mycobacterium fortuitum	|	Mycolicibacterium fortuitum	|	1766
1	|	Mycobacterium gordonae	|	 	|	1778
1	|	Mycobacterium hassiacum	|	Mycolicibacterium hassiacum	|	46351
1	|	Mycobacterium intracellulare	|	 	|	1767
1	|	Mycobacterium kansasii	|	 	|	1768
1	|	Mycobacterium lentiflavum	|	 	|	141349
1	|	Mycobacterium leprae	|	 	|	1769
1	|	Mycobacterium malmoense	|	 	|	1780
1	|	Mycobacterium marinum	|	 	|	1781
1	|	Mycobacterium neoaurum	|	Mycolicibacterium neoaurum	|	1795
1	|	Mycobacterium scrofulaceum	|	 	|	1783
1	|	Mycobacterium simiae	|	 	|	1784
1	|	Mycobacterium smegmatis	|	Mycolicibacterium smegmatis	|	1772
1	|	Mycobacterium szulgai	|	 	|	1787
1	|	Mycobacterium terrae	|	Mycolicibacter terrae	|	1788
1	|	Mycobacterium tuberculosis	|	 	|	1773
1	|	Mycobacterium xenopi	|	 	|	1789
1	|	Mycoplasma fermentans	|	Mycoplasmopsis fermentans	|	2115
1	|	Mycoplasma genitalium	|	Mycoplasmoides genitalium	|	2097
1	|	Mycoplasma hominis	|	Metamycoplasma hominis	|	2098
1	|	Mycoplasma penetrans	|	Malacoplasma penetrans	|	28227
1	|	Mycoplasma pirum	|	Mycoplasmoides pirum	|	2122
1	|	Mycoplasma pneumoniae	|	Mycoplasmoides pneumoniae	|	2104
1	|	Mycoplasma primatum	|	Mycoplasmopsis primatum	|	55604
1	|	Myroides injenensis	|	 	|	1183151
1	|	Myroides odoratimimus	|	 	|	76832
1	|	Nanobacterium sanguineum	|	 	|	53024
1	|	Negativicoccus succinicivorans	|	 	|	620903
1	|	Neisseria cinerea	|	 	|	483
1	|	Neisseria flavescens	|	 	|	484
1	|	Neisseria gonorrhoeae	|	 	|	485
1	|	Neisseria meningitidis	|	 	|	487
1	|	Neisseria mucosa	|	 	|	488
1	|	Neisseria perflava	|	 	|	33053
1	|	Neisseria polysaccharea	|	 	|	489
1	|	Neisseria sicca	|	 	|	490
1	|	Neisseria subflava	|	 	|	28449
1	|	Nocardia asteroides	|	 	|	1824
1	|	Nocardia farcinica	|	 	|	37329
1	|	Nocardia otitidiscaviarum	|	 	|	1823
1	|	Nocardia veterana	|	 	|	132249
1	|	Nosocomiicoccus ampullae	|	 	|	489910
1	|	Oblitimonas alkaliphila	|	Thiopseudomonas alkaliphila	|	1697053
1	|	Ochrobactrum tritici	|	Brucella tritici	|	94626
1	|	Oligella ureolytica	|	 	|	90244
1	|	Oligella urethralis	|	 	|	90245
1	|	Olsenella urininfantis	|	 	|	1871033
1	|	Orientia tsutsugamushi	|	 	|	784
1	|	Paenibacillus alvei	|	 	|	44250
1	|	Paenibacillus amylolyticus	|	 	|	1451
1	|	Paenibacillus urinalis	|	 	|	521520
1	|	Pantoea agglomerans	|	 	|	549
1	|	Pantoea calida	|	Mixta calida	|	665913
1	|	Pantoea dispersa	|	 	|	59814
1	|	Pantoea septica	|	 	|	472695
1	|	Parachlamydia acanthamoebae	|	 	|	83552
1	|	Paraclostridium bifermentans	|	 	|	1490
1	|	Parasutterella excrementihominis	|	 	|	487175
1	|	Pasteurella aerogenes	|	[Pasteurella] aerogenes	|	749
1	|	Pasteurella bettyae	|	 	|	752
1	|	Pasteurella multocida	|	 	|	747
1	|	Pedobacter rhizospharae	|	Pedobacter rhizosphaerae	|	390241
1	|	Pediococcus acidilactici	|	 	|	1254
1	|	Pediococcus pentosaceus	|	 	|	1255
1	|	Peptococcus niger	|	 	|	2741
1	|	Peptoniphilus asaccharolyticus	|	 	|	1258
1	|	Peptoniphilus coxii	|	Aedoeadaptatus coxii	|	755172
1	|	Peptoniphilus gorbachii	|	 	|	411567
1	|	Peptoniphilus harei	|	 	|	54005
1	|	Peptoniphilus urinimassiliensis	|	Aedoeadaptatus urinae	|	1871017
1	|	Peptostreptococcus anaerobius	|	 	|	1261
1	|	Peptostreptococcus micros	|	Parvimonas micra	|	33033
1	|	Photobacterium damselae	|	 	|	38293
1	|	Porphyromonas bennonis	|	 	|	501496
1	|	Porphyromonas circumdentaria	|	 	|	29524
1	|	Porphyromonas somerae	|	 	|	322095
1	|	Porphyromonas uenonis	|	 	|	281920
1	|	Prevotella bergensis	|	Hallella bergensis	|	242750
1	|	Prevotella bivia	|	 	|	28125
1	|	Prevotella buccalis	|	Hoylesella buccalis	|	28127
1	|	Prevotella corporis	|	 	|	28128
1	|	Prevotella disiens	|	 	|	28130
1	|	Prevotella melaninogenica	|	 	|	28132
1	|	Prevotella ruminicola	|	Xylanibacter ruminicola	|	839
1	|	Prevotella timonensis	|	Hoylesella timonensis	|	386414
1	|	Propionibacterium acnes	|	Cutibacterium acnes	|	1747
1	|	Propionibacterium avidum	|	Cutibacterium avidum	|	33010
1	|	Propionibacterium propionicum	|	Arachnia propionica	|	1750
1	|	Propionicicella superfundia	|	 	|	348582
1	|	Propionimicrobium lymphophilum	|	 	|	33012
1	|	Propionispira arcuata	|	 	|	433321
1	|	Proteus inconstans	|	 	|	84631
1	|	Proteus mirabilis	|	 	|	584
1	|	Proteus penneri	|	 	|	102862
1	|	Proteus vulgaris	|	 	|	585
1	|	Providencia alcalifaciens	|	 	|	126385
1	|	Providencia rettgeri	|	 	|	587
1	|	Providencia stuartii	|	 	|	588
1	|	Pseudoclavibacter alba	|	Pseudoclavibacter albus	|	272241
1	|	Pseudoglutamicibacter albus	|	 	|	98671
1	|	Pseudomonas aeruginosa	|	 	|	287
1	|	Pseudomonas alcaligenes	|	Aquipseudomonas alcaligenes	|	43263
1	|	Pseudomonas denitrificans	|	Pseudomonas denitrificans (nom. rej.)	|	43306
1	|	Pseudomonas fluorescens	|	 	|	294
1	|	Pseudomonas luteola	|	 	|	47886
1	|	Pseudomonas mendocina	|	Ectopseudomonas mendocina	|	300
1	|	Pseudomonas monteilii	|	 	|	76759
1	|	Pseudomonas mosselii	|	 	|	78327
1	|	Pseudomonas oryzihabitans	|	 	|	47885
1	|	Pseudomonas poae	|	 	|	200451
1	|	Pseudomonas putida	|	 	|	303
1	|	Pseudomonas reactans	|	 	|	117680
1	|	Pseudomonas stutzeri	|	Stutzerimonas stutzeri	|	316
1	|	Pseudomonas trivialis	|	 	|	200450
1	|	Pseudoramibacter alactolyticus	|	 	|	113287
1	|	Psychrobacter phenylpyruvicus	|	 	|	29432
1	|	Rahnella aquatilis	|	 	|	34038
1	|	Ralstonia pickettii	|	 	|	329
1	|	Raoultella ornithinolytica	|	 	|	54291
1	|	Raoultella planticola	|	 	|	575
1	|	Raoultella terrigena	|	 	|	577
1	|	Rhizobium radiobacter	|	Agrobacterium radiobacter	|	362
1	|	Rhodanobacter terrae	|	 	|	418647
1	|	Rickettsia japonica	|	 	|	35790
1	|	Roseburia inulinivorans	|	 	|	360807
1	|	Rothia dentocariosa	|	 	|	2047
1	|	Rothia mucilaginosa	|	 	|	43675
1	|	Ruminococcus bromii	|	 	|	40518
1	|	Ruminococcus flavefaciens	|	 	|	1265
1	|	Saccharomonospora guangxiensis	|	 	|	89365
2	|	Salmonella choleraesuis	|	Salmonella enterica	|	28901
1	|	Salmonella enterica	|	 	|	28901
