Feature ID	Taxon
LC796739.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
OR363178.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
OR244275.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
OQ737779.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
OM980088.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
PX443645.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443625.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443613.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443612.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443610.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443611.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443603.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443602.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PX443462.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PQ223338.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium dentium
PV204920.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ763982.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222995.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222987.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222976.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222967.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222965.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222537.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ222534.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PP938234.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium amycolatum
PQ870276.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
PQ870275.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
OK103760.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN545432.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN545428.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN175945.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN175938.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN175936.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
MN175932.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium aurimucosum
NR_044905.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium coyleae
MK131307.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium coyleae
AF537592.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium coyleae
EU434595.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium coyleae
NR_026369.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium imitans
AF537597.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium imitans
OP176015.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium lipophilum
OP176010.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Mycobacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium;D_6__Corynebacterium lipophilum
PV954123.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV954122.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV954121.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV954120.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV954119.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV953695.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV953692.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV953691.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV953690.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Cutibacterium;D_6__Cutibacterium acnes
PV104452.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
OQ396359.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
OL656830.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
MK465374.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
NR_119073.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
KX646252.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
LC144978.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
FJ200385.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
JX435046.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
EU373383.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Dermabacteraceae;D_5__Dermabacter;D_6__Dermabacter hominis
MW567137.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
MW566798.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
KU726687.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850118.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850117.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850116.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850115.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850114.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850113.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
AY850112.1	D_0__Bacteria;D_1__Bacillota;D_2__Negativicutes;D_3__Veillonellales;D_4__Veillonellaceae;D_5__Dialister;D_6__Dialister micraerophilus
PX457002.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX444823.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX443306.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX420882.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX420864.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX420792.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus;D_6__Enterococcus faecalis
PX457245.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX454511.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX446567.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX444824.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX443305.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX413060.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX401678.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX380553.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX376620.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PX376618.1	D_0__Bacteria;D_1__Pseudomonadota;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia;D_6__Escherichia coli
PQ236891.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222841.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222839.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222838.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222837.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222834.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222822.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ222814.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
OR398759.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Finegoldia;D_6__Finegoldia magna
PQ764636.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
PQ498792.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
OP295476.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
OP295475.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
OP295474.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
ON878197.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
ON878196.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
ON878195.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Gardnerella;D_6__Gardnerella vaginalis
MK279512.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
NR_043052.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
KC878295.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
KC878293.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
KC878292.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
KC293823.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
L13464.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
DQ412573.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
AY631946.1	D_0__Bacteria;D_1__Campylobacterota;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter canis
PX207288.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Kocuria;D_6__Kocuria rhizophila
PX149094.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Kocuria;D_6__Kocuria rhizophila
