KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter spp.
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces europaeus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Winkia ,Winkia neuii (former Actinomyces neuii) 
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces spp.
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces turicensis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum (former Actinobaculum),Actinotignum schaalii (former Actinobaculum schaalii)
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus hydrogenalis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus lactolyticus
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus obesiensis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus octavius
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus rubiinfantis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus senegalensis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus tetradius
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus vaginalis
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaeroglobus,Anaeroglobus spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium spp.
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium minutum
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium spp.
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Fannyhessea,Fannyhessea vaginae (former Atopobium vaginae)
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus muralis
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus oleronius
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus simplex
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus spp.
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides galacturonicus
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides spp.
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia luti
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia spp.
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus borstelensis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium paucivorans
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium ravenspurgense
Bacteria,Proteobacteria,Alphaproteobacteria, Caulobacterales, Caulobacteraceae,Brevundimonas vesicularis,Brevundimonas vesicularis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteraceae,Brooklawnia ,Brooklawnia massiliensis
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hominis
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Candidatus Peptoniphilus massiliensis
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales,Casaltella,Casaltella massiliensis
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter koseri
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter spp.
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium spp.
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens
Bacteria,Firmicutes,Clostridia,Clostridiales, Lachnospiraceae,Coprococcus,Coprococcus catus
Bacteria ,Actinobacteria,Actinobacteria ,Corynebacteriales ,Corynebacteriaceae ,Corynebacterium,Corynebacterium amycolatum
Bacteria ,Actinobacteria,Actinobacteria ,Corynebacteriales ,Corynebacteriaceae ,Corynebacterium,Corynebacterium aurimucosum
Bacteria ,Actinobacteria,Actinobacteria ,Corynebacteriales ,Corynebacteriaceae ,Corynebacterium,Corynebacterium coyleae
